strain,stress,strain_rate,temperature
0.00498,0.386048687,50000000,600
0.00499,0.367027093,50000000,600
0.005,0.391895565,50000000,600
0.00501,0.380912524,50000000,600
0.00502,0.394762256,50000000,600
0.00503,0.386481576,50000000,600
0.00504,0.383791978,50000000,600
0.00505,0.369505183,50000000,600
0.00506,0.385884606,50000000,600
0.00507,0.388229981,50000000,600
0.00508,0.389826949,50000000,600
0.00509,0.392170029,50000000,600
0.0051,0.381060836,50000000,600
0.00511,0.381288851,50000000,600
0.00512,0.370924721,50000000,600
0.00513,0.394102275,50000000,600
0.00514,0.408806732,50000000,600
0.00515,0.391861014,50000000,600
0.00516,0.388579276,50000000,600
0.00517,0.393619557,50000000,600
0.00518,0.420195547,50000000,600
0.00519,0.413550977,50000000,600
0.0052,0.406004369,50000000,600
0.00521,0.383674599,50000000,600
0.00522,0.397911973,50000000,600
0.00523,0.406818164,50000000,600
0.00524,0.395703432,50000000,600
0.00525,0.414394128,50000000,600
0.00526,0.392674941,50000000,600
0.00527,0.392410207,50000000,600
0.00528,0.380067024,50000000,600
0.00529,0.387084547,50000000,600
0.0053,0.403446282,50000000,600
0.00531,0.419960698,50000000,600
0.00532,0.405292778,50000000,600
0.00533,0.415151489,50000000,600
0.00534,0.406848457,50000000,600
0.00535,0.39454842,50000000,600
0.00536,0.41694321,50000000,600
0.00537,0.407289682,50000000,600
0.00538,0.412876869,50000000,600
0.00539,0.411007157,50000000,600
0.0054,0.40431917,50000000,600
0.00541,0.392688804,50000000,600
0.00542,0.39903258,50000000,600
0.00543,0.412566997,50000000,600
0.00544,0.41101571,50000000,600
0.00545,0.386641538,50000000,600
0.00546,0.423494635,50000000,600
0.00547,0.411192312,50000000,600
0.00548,0.417903393,50000000,600
0.00549,0.3892557,50000000,600
0.0055,0.407901377,50000000,600
0.00551,0.409427999,50000000,600
0.00552,0.415996707,50000000,600
0.00553,0.410855584,50000000,600
0.00554,0.389214454,50000000,600
0.00555,0.39737023,50000000,600
0.00556,0.372738622,50000000,600
0.00557,0.404446796,50000000,600
0.00558,0.401209482,50000000,600
0.00559,0.407107257,50000000,600
0.0056,0.413465243,50000000,600
0.00561,0.421889982,50000000,600
0.00562,0.4223674,50000000,600
0.00563,0.424618405,50000000,600
0.00564,0.421096063,50000000,600
0.00565,0.411628053,50000000,600
0.00566,0.41728212,50000000,600
0.00567,0.408876184,50000000,600
0.00568,0.396590899,50000000,600
0.00569,0.399098853,50000000,600
0.0057,0.394360138,50000000,600
0.00571,0.410163175,50000000,600
0.00572,0.394489357,50000000,600
0.00573,0.399465294,50000000,600
0.00574,0.405608447,50000000,600
0.00575,0.423828694,50000000,600
0.00576,0.424229827,50000000,600
0.00577,0.449329061,50000000,600
0.00578,0.442969116,50000000,600
0.00579,0.447918931,50000000,600
0.0058,0.442055477,50000000,600
0.00581,0.43849771,50000000,600
0.00582,0.419571641,50000000,600
0.00583,0.417169266,50000000,600
0.00584,0.407050555,50000000,600
0.00585,0.41228904,50000000,600
0.00586,0.393470332,50000000,600
0.00587,0.399566944,50000000,600
0.00588,0.401441055,50000000,600
0.00589,0.41009885,50000000,600
0.0059,0.431463585,50000000,600
0.00591,0.41967648,50000000,600
