strain,stress,strain_rate,temperature
0.0045,0.455111494,50000000,450
0.00451,0.444404354,50000000,450
0.00452,0.442732943,50000000,450
0.00453,0.437575056,50000000,450
0.00454,0.438530013,50000000,450
0.00455,0.445745743,50000000,450
0.00456,0.438106127,50000000,450
0.00457,0.428917621,50000000,450
0.00458,0.427200065,50000000,450
0.00459,0.422262885,50000000,450
0.0046,0.433022064,50000000,450
0.00461,0.435369992,50000000,450
0.00462,0.436708511,50000000,450
0.00463,0.43642193,50000000,450
0.00464,0.447643856,50000000,450
0.00465,0.430687965,50000000,450
0.00466,0.450207604,50000000,450
0.00467,0.457111007,50000000,450
0.00468,0.450628719,50000000,450
0.00469,0.450675878,50000000,450
0.0047,0.442118948,50000000,450
0.00471,0.4461424,50000000,450
0.00472,0.45829087,50000000,450
0.00473,0.449013238,50000000,450
0.00474,0.449657206,50000000,450
0.00475,0.457275098,50000000,450
0.00476,0.43742604,50000000,450
0.00477,0.431810911,50000000,450
0.00478,0.436191107,50000000,450
0.00479,0.461726589,50000000,450
0.0048,0.449830095,50000000,450
0.00481,0.45340658,50000000,450
0.00482,0.448338061,50000000,450
0.00483,0.442262791,50000000,450
0.00484,0.438367122,50000000,450
0.00485,0.445411305,50000000,450
0.00486,0.449813337,50000000,450
0.00487,0.443854365,50000000,450
0.00488,0.445464294,50000000,450
0.00489,0.463608186,50000000,450
0.0049,0.450290705,50000000,450
0.00491,0.454123973,50000000,450
0.00492,0.447685018,50000000,450
0.00493,0.464458798,50000000,450
0.00494,0.450997305,50000000,450
0.00495,0.466069723,50000000,450
0.00496,0.449080651,50000000,450
0.00497,0.455424271,50000000,450
0.00498,0.454195855,50000000,450
0.00499,0.444471365,50000000,450
0.005,0.437293616,50000000,450
0.00501,0.443741486,50000000,450
0.00502,0.459984575,50000000,450
0.00503,0.448880845,50000000,450
0.00504,0.4585241,50000000,450
0.00505,0.45746874,50000000,450
0.00506,0.461052121,50000000,450
0.00507,0.458748242,50000000,450
0.00508,0.461490259,50000000,450
0.00509,0.455844425,50000000,450
0.0051,0.444400197,50000000,450
0.00511,0.441511442,50000000,450
0.00512,0.452136581,50000000,450
0.00513,0.460830364,50000000,450
0.00514,0.4533177,50000000,450
0.00515,0.454909486,50000000,450
0.00516,0.455022322,50000000,450
0.00517,0.456048578,50000000,450
